Title,Date,Blurb
Standoff in Dover ends with apparent suicide,"Sep 29, 2018",
Brandywine holds election-day forum on mental health,"Sep 5, 2018",
"Police ID 23-year-old man, woman in Ogletown murder-suicide","Aug 8, 2018",
Murder-suicide: 'ultimate act of domestic violence',"Aug 10, 2018",
We may never know why Prices Corner dad killed his family,"Jul 13, 2018",
Deaths of Prices Corner family of 5 ruled murder suicide,"Jul 10, 2018",
Why this mother wants Delawareans to talk about suicide,"Jun 16, 2018",
Police update homicide-suicide that killed former UD official,"Apr 24, 2018",
Suicide warning signs: When someone needs help,"Jun 8, 2018",
Mom killed in murder suicide was key member of national nonprofit,"Jul 12, 2018",
What we know so far: Prices Corner murder suicide,"Jul 11, 2018",
"Before woman shot dead in murder-suicide, ominous signs","Aug 10, 2018",
"Meredith Chapman killed in slaying-suicide in Bryn Mawr, Pa.","Apr 24, 2018",
Don't let Delaware's deadly week distort your worldview,"Jul 13, 2018",
Murder-suicide is deadly reminder of domestic violence,"Jul 11, 2018",
Disbelief hits neighborhood where 5 were shot to death,"Jul 10, 2018",
Prices Corner murder suicide leaves social media speechless with grief,"Jul 10, 2018",
Run honors Appo grad who died in 2017,"May 31, 2018",
Victims ID'd in Hartly suspected murder-suicide,"May 30, 2018",
Homicide-suicide investigators were in Delaware,"Apr 27, 2018",
Complete coverage: Gerardot-Chapman homicide-suicide,"Apr 26, 2018",
Gerardot-Chapman homicide-suicide defies conventions,"Apr 25, 2018",
Trooper hurt responding to call about suicidal person on Roth Bridge,"Jul 4, 2018",
Former UD director Meredith Chapman killed in murder-suicide,"Apr 24, 2018",
Funeral held for Meredith Chapman; memorial planned,"May 4, 2018",
Questions remain about 16-year-old's jump from Wilmington hospital roof,"Jun 18, 2018",
Police provide update on Pa. homicide-suicide,"Apr 24, 2018",
"Meredith Chapman remembered as 'vibrant,' 'promising'","Apr 24, 2018",
"We can do more to stop suicides, reader says","Jun 9, 2018",
Pennsylvania murder-suicide investigators in Delaware,"Apr 27, 2018",
Neighborhood quiet day after slaying-suicide,"Apr 24, 2018",
Police: Lover's wife lay in wait to kill ex-UD official,"Apr 25, 2018",
Assisted suicide undermines human dignity: Delaware Voice,"Mar 17, 2018",
Haven't been to The Starboard? Here's a starter guide to events,"May 24, 2018",
Newark murder suspect hospitalized after suicide attempt,"Sep 25, 2017",
Husband and wife of 71 years identified in murder-suicide,"Nov 29, 2017",
Dover doctor: Terminally ill patients need options,"Feb 21, 2018",
Oppose physician-assisted suicide: Letters,"Jan 13, 2018",
Pro-lifers demonstrate outside Legislative Hall,"Jan 23, 2018",
Marijuana legalization not worth it: Letters,"Jan 16, 2018",
Physician-assisted suicide not the answer,"Jul 7, 2017",
Voices of the dying changed my mind: Albright,"Jan 6, 2018",
"17-year-old facing felonies after stealing gun, soda","Sep 30, 2018",
Doctor-assisted suicide law proposed,"May 3, 2017",
KJWP NewsBreak,"May 31, 2017",
Standoff in Harrington ends with arrest,"Sep 25, 2017",
A decade of promising by Delaware prisons,"Jan 26, 2018",
Film screening brings awareness to soldier suicide,"Mar 14, 2017",
Robbery suspects arrested after Coastal Highway chase,"Sep 30, 2018",
Letters to the editor: Flawed views on assisted suicide,"Jun 13, 2017",
"For medical students, suicide isn't academic","Oct 10, 2016",
"After a teen suicide, a familiar pain and grief return to a Virginia high school","May 4, 2017",
Delawareans push to stop soldier suicide,"Sep 30, 2016",
New suicide prevention law goes into effect this school year,"Sep 15, 2016",
Delaware's Rockford Center sued over suicide,"Apr 26, 2017",
Victims' families will suffer for Aaron Hernandez's suicide,"Apr 20, 2017",
Bizarre Dover deaths ruled a murder-suicide,"Jul 19, 2016",
Oppose assisted suicide bill: Letters,"Nov 28, 2017",
U.S. 13 northbound reopened near Delaware City,"Sep 4, 2017",
Suicide rates on rise among young girls,"May 16, 2016",
Court records: Suspects fought with shooting victim at Little Creek deli,"Sep 30, 2018",
ARCHIVE: 'I blame the system',"Feb 17, 2017",
New panel will fight gun suicides,"Sep 27, 2016",
Feds want state probe of suicide outside Rockford,"Apr 12, 2016",
Delaware police officers able to help vets in crisis,"Oct 21, 2017",
Feds: No foul play in Rockford suicide,"May 11, 2016",
Prison seeks dismissal of lawsuit,"Mar 11, 2016",
Man dies in Sussex County prison,"Aug 29, 2016",
Officer's acts of kindness bring hope,"Jan 1, 2017",
KJWP NewsBreak,"Apr 4, 2017",
Suicide reissue No. 1 at Jupiter Records,"Jul 20, 2016",
Police: Cecil County couple dead in murder-suicide,"Jun 28, 2017",
Letters to the editor: Assisted suicide debate hurtful,"Jun 25, 2017",
Rule would let students 'self-identify' without parent OK,"Nov 13, 2017",
Assisted suicide bill takes on personal meaning,"Jun 22, 2017",
Inmate dies in apparent suicide,"Jan 20, 2015",
Two deaths ruled suicide,"Jan 18, 2015",
5 reasons to oppose assisted suicide legislation,"Jun 8, 2017",
"Police ID victims in Penny Hill homicide, suicide","Jul 3, 2016",
Suicide by cops: Did anxiety from heroin push Brandon and Chelsea to their deaths?,"Nov 21, 2016",
ARCHIVE: Accountability,"Feb 17, 2017",
Should assisted suicide by legal?,"Apr 13, 2015",
Physician-assisted suicide tabled in committee,"Jun 3, 2015",
"At 71, Betty Davis No. 1 at Jupiter","Aug 3, 2016",
Veteran groups to screen film in Wilmington,"Mar 17, 2017",
Police declare Georgetown Manor deaths murder-suicide,"Jul 18, 2016",
Dear Abby: Mother's suicide too painful,"Apr 7, 2014",
NeuroRx to receive patent for depression drug,"Oct 28, 2016",
Physician assisted suicide bill gets a hearing,"Jun 1, 2015",
Mass. murderer in Del. prison dies,"Nov 13, 2014",
"Letters to the Editor: Balancing suicide prevention, advocacy","Apr 24, 2015",
Delaware mental health services get more oversight,"Sep 6, 2016",
Letters to the Editor: Killing casinos will just raise taxes,"Apr 19, 2015",
State will look into suicide outside of Rockford Center,"Apr 12, 2016",
"Doctor-assisted suicide, then what?","Apr 17, 2015",
YouTube suicide victim's mom issues warning,"Apr 14, 2016",
Elkton man commits suicide outside Rockford Center,"Apr 7, 2016",
New Castle police negotiation ends in apparent suicide,"Aug 11, 2016",
Mediation under way in Newark student suicide lawsuit,"Sep 16, 2015",
KJWP NewsBreak: Bacteria levels high at Del. beaches,"Jun 30, 2016",
Bear deaths ruled murder-suicide,"Jul 22, 2015",
Suicide by cops: Did anxiety from heroin push Brandon and Chelsea to deaths?,"Nov 19, 2016",
22in22 soldier suicide campaign kicks off,"Sep 11, 2015",
"Weekend forecast is sunny, 70s: Here are 11 things to do","Sep 28, 2018",
A middle ground on assisted suicide,"Nov 16, 2014",
Murder-suicide reported in Berlin.,"Apr 17, 2014",
Presidential race causes spike in crisis center calls,"Oct 18, 2016",
Family's tragic loss comforted by memorial glass,"Dec 25, 2015",
"Deaths were murder-suicide, police say","Jul 22, 2015",
House unanimously passes teen suicide prevention bill,"Apr 29, 2015",
"Delaware teen suicide rate prompts action, awareness","Apr 21, 2015",
Inmate dies in Wilmington prison,"Sep 11, 2014",
Teen suicide-prevention bill unveiled,"Apr 16, 2015",
Letters to the Editor: Doctors should not help suicide,"Jun 17, 2015",
KJWP NewsBreak: Biden to visit Vatican,"Apr 14, 2016",
Letters to the Editor: We need legislators with backbone,"Jun 20, 2015",
The Daily Scroll: April 14,"Apr 14, 2016",
"DO Delaware: What's scarier, Frightland or Gritty?","Sep 27, 2018",
No autopsies in New Castle County since early July,"Sep 21, 2018",
Reader: Trump wrong to freeze federal worker pay,"Sep 4, 2018",
Slain officer honored,"Mar 28, 2016",
When should justices decide a right?,"Apr 24, 2015",
Failed Burger King robbery leads to arrest: police,"Aug 10, 2018",
Shop owners reflect on customer's suicide,"Apr 22, 2015",
Baumbach: ‘Death with Dignity’ discussion is critical,"Apr 17, 2015",
Delaware pastor praying for Bill Cosby's soul,"Sep 26, 2018",
Searching for answers after suicide,"Jan 23, 2015",
