Title,Date,Blurb
Complaint: Franklin Walmart bomb threat made to scare sister,"Oct 1, 2018",
Murder-suicide suspected in death of two men in Waukesha,"Oct 3, 2018",
Police arrest man in suicide bomb threats,"Sep 26, 2018",
Little Chute students work to prevent suicide,"Sep 24, 2018",
"Drugs, sex and money behind murder-suicide, report says","Sep 26, 2018",
Sydni Briggs in therapy,"Sep 17, 2018",
Listening: a powerful suicide prevention tool,"Jul 20, 2018",
Suicide leaves ones left behind on hard journey,"Jun 15, 2018",
Inmate dies by suicide at Waukesha County Jail,"Jul 4, 2018",
Woman dies in apparent suicide at gun range,"Jul 26, 2018",
Man dies of self-inflicted gunshot while talking to dispatcher,"Jul 26, 2018",
Mobile healing clinic planned for Milwaukee,"Oct 10, 2018",
CDC report shows rising suicide rate,"Jun 15, 2018",
"Motorists dodge man, 55, driven to suicide by loss of cat","Aug 1, 2018",
Deputies save man from jumping off Hoan Bridge,"Jul 13, 2018",
Grieving mom confronts teenage son's suicide,"Jun 27, 2018",
PolitiFact: Soglin's gun claim hits outside target,"Jul 12, 2018",
Karlee Gross survives suicide attempt,"May 1, 2018",
Wisconsin suicide rate jumps 25% since 1999,"Jun 14, 2018",
How we can slow the rise in U.S. suicide rate,"Jun 11, 2018",
Body found at Oak Creek beach,"Apr 25, 2018",
Suicide calls provided tense moments for police and schools,"Apr 12, 2018",
Police investigate after body found in car,"May 7, 2018",
Teens are on front lines of suicide prevention,"Apr 10, 2018",
Road to Recovery,"May 11, 2018",
Momentum building in Marquette's trauma effort,"Apr 24, 2018",
What We've Learned,"May 4, 2018",
Data says guns in homes boost suicide risk,"Mar 22, 2018",
Shorewood sophomore had an 'infectious personality',"Jan 25, 2018",
"Wisconsin woman, toddler found dead in Florida","Mar 11, 2018",
Teen prison workers promoted after inmate suicide attempt,"Apr 29, 2018",
Stingl: Suicidal man turned to Golden Gate jumper,"Apr 27, 2018",
Police identify murder-suicide victims,"Dec 18, 2017",
Video: Family remembers Na'imah McDonald,"Sep 29, 2017",
Man dies by suicide in Elm Grove PD parking lot,"Oct 4, 2018",
Schools slowly seek to support trans students,"Mar 15, 2018",
Are smart guns ready for prime time?,"May 14, 2018",
"Minority, LGBTQ students feel less safe in schools","Mar 23, 2018",
Music and more: Learning about teens and stress,"May 2, 2018",
"Listen to ""This is Normal,"" our youth mental health podcast","May 1, 2018",
Double homicide-suicide under investigation by Milwaukee police,"Dec 17, 2017",
"Stingl: Shaken by grisly death, deputy swaps job for bike","Mar 13, 2018",
2 found dead in suspected murder-suicide at Pewaukee condo,"Dec 8, 2017",
Psychiatry residents in Wisconsin,"Apr 17, 2018",
Attempted suicide reported at Dane County Jail,"Jun 27, 2017",
Glendale school to increase anti-bullying efforts after suicide,"Nov 20, 2017",
7th grade boy dies by suicide in Glendale,"Nov 14, 2017",
Accused child porn offender commits suicide,"Nov 1, 2017",
Girl gravely injured in suicide attempt at Copper Lake prison,"Jan 4, 2018",
Death of former Dominican teacher deemed suicide,"Aug 9, 2017",
Death of veteran with PTSD inspires 'Green Alert' effort,"Jan 30, 2018",
State to pay $19 million to ex-teen inmate injured in suicide try,"Mar 21, 2018",
Why did a teen quarterback take her own life?,"Jan 4, 2018",
Motorist turns gun on himself during traffic stop,"Dec 30, 2017",
Doctor who killed himself battled depression,"Dec 28, 2017",
Doctor takes his own life at hospital as SWAT team responds,"Dec 27, 2017",
Time to listen,"Feb 22, 2018",
Check out the series,"Feb 22, 2018",
Teen's family says he was bullied before suicide,"Nov 15, 2017",
Smith: Railroad crossing law needs to be changed,"Mar 10, 2018",
Murder-suicide suspected in Pewaukee deaths,"Dec 8, 2017",
Fee fight continues three years after lawyer's death,"Aug 3, 2017",
Man shot by Oak Creek police found dead,"Sep 26, 2018",
Medal of Honor recipient Flo Groberg speaking in Milwaukee on Veterans Day,"Nov 10, 2017",
Oak Creek tactical squad finds man dead in home,"Sep 20, 2017",
Teens share mental health stories to reduce stigma,"Jan 4, 2018",
Girl suffers serious brain damage after suicide attempt,"Jan 28, 2017",
U.S. Senators seek inquiry on veteran suicide,"Aug 2, 2016",
Suicide attempt underscores challenges at Copper Lake,"Dec 6, 2017",
Suicide-by-cop reported in Beaver Dam,"Aug 6, 2016",
Guard fired in 2015 case that left teen inmate brain damaged gets job back,"Sep 17, 2018",
Kenosha inmate's death ruled suicide,"Nov 3, 2016",
"Facebook to hire 3,000 to review videos of crime and suicide","May 3, 2017",
Judge asked to seal file of dead defendant,"Sep 17, 2016",
Tomah VA whistleblower opposes Baldwin re-election,"Oct 4, 2018",
Deputies prevent suicide at Dane County Jail,"Aug 11, 2016",
West Allis police ID victims of apparent murder-suicide,"Jan 3, 2017",
"In Door County, lonely hearts seek connection","Sep 12, 2017",
District attorney clears Waukesha police officers in fatal shooting,"Sep 7, 2017",
Trump: We must fix our self-destructive tax code,"Sep 3, 2017",
"Teens love '13 Reasons Why.' Educators, not so much.","May 18, 2017",
Sydni Briggs in therapy,"Jan 28, 2017",
Carolyn Hax: Let neighbor be the one to bring up her late husband's suicide,"Sep 16, 2016",
"Former teen inmate, now brain damaged, sues state","Jan 30, 2017",
Victims of murder-suicide identified,"Aug 18, 2016",
4 dead in overnight shootings in Milwaukee,"Dec 8, 2016",
"New on DVD: 'Suicide Squad,' 'Southside With You,' more","Dec 9, 2016",
One key to child's wellness: Push back on bullying,"Sep 12, 2017",
Victims of murder-suicide identified,"Aug 18, 2016",
New movies this week in Milwaukee,"Aug 4, 2016",
Judge reinstates conviction in 1998 poisoning death,"Sep 1, 2017",
"Gudex battled depression, family said","Oct 16, 2016",
"Double killing, suicide suspected in house explosion","May 31, 2016",
"3 dead, including 2 children, in Rapids double murder-suicide","Apr 26, 2016",
Suicide attempts add to Milwaukee jail's issues,"May 13, 2017",
Milwaukee police revising policy on officer-involved domestic abuse,"Apr 20, 2017",
Judge declines to seal dead lawyer's file,"Nov 15, 2016",
Milwaukee police urged to adopt model domestic abuse policy,"Mar 17, 2017",
State Sen. Rick Gudex dies at 48,"Oct 13, 2016",
Lawrence chooses international refugee policy expert as commencement speaker,"Mar 6, 2017",
Tomah VA therapists use Fort McCoy combat simulator to help veterans with PTSD,"Sep 21, 2018",
Man gets life term for wife's 1984 death,"Apr 21, 2016",
Harry Reid blocks Ron Johnson's whistleblower protection bill,"Jul 15, 2016",
Oprah helps launch Milwaukee trauma conference,"Sep 26, 2018",
Walker defends team that didn't punish 3 nurses in case of gravely ill teen,"Sep 14, 2018",
Lawsuits at teen prison cost Wisconsin $21 million,"Sep 7, 2018",
Milwaukee puts trauma epidemic at center court,"Sep 24, 2018",
State waits 2 years to tell nursing board that teen inmate nearly died,"Sep 13, 2018",
Waukesha County inmate dies of unknown causes,"Aug 10, 2018",
Milwaukee man's retrial fraught with legal twists,"Sep 17, 2018",
Harmful effects of bullying amplified online,"Sep 5, 2018",
DPI seeks $60 million boost for school mental health,"Jul 27, 2018",
Camping with kids and bidding farewell to summer,"Aug 23, 2018",
Camping with kids and bidding farewell to summer,"Aug 23, 2018",
Man charged with sexually assaulting 4-year-old,"Aug 23, 2018",
"Judge OKs deal to bar pepper spray, reduce solitary at teen prison","Sep 13, 2018",
10 TV shows you need to watch this fall,"Sep 5, 2018",
Kids' mental health tops educators worries,"Aug 20, 2018",
State to pay ACLU $885K for Lincoln Hills legal fees,"Aug 6, 2018",
Prison nurses didn't get gravely ill teen to hospital,"Aug 31, 2018",
7 emerging acts to see at Lollapalooza,"Aug 1, 2018",
Timothy Deppisch will stay Ozaukee County coroner,"Aug 14, 2018",
"86'd, a support group for restaurant workers, is starting","Aug 30, 2018",
Cedarburg students cited in bullying case,"Jun 15, 2018",
"State addressing trauma, Tonette Walker says","Aug 29, 2018",
A controversial FoodShare work requirement,"Jul 23, 2018",
$1 million donated to UWM for veterans mental health,"Jun 22, 2018",
"Man arrested, accused of threats that canceled graduation","May 29, 2018",
Here's a roundup of changes to Milwaukee-area schools,"Aug 23, 2018",
"Harley-Davidson intern overcomes pain, depression on bike","Aug 24, 2018",
Marquette's Lovells quietly take on trauma epidemic,"Aug 18, 2018",
"Ex-prison chief eviscerates Walker, Schimel in book","Aug 10, 2018",
"Tosa schools end ban on leggings, yoga pants","Aug 21, 2018",
"Mod Pizza, with unlimited toppings for one price, to hold grand opening","Jul 25, 2018",
Dale Jr. salutes a short-track legend,"Jul 23, 2018",
Scott Walker sees 'no value' in prison tour; ex-aide disagrees,"Aug 17, 2018",
Group uses photography to help abuse survivors,"Jun 19, 2018",
"World Peace Celebration brings hope, help to Milwaukee","Aug 4, 2018",
Obama and Biden ride again in new mystery,"Jul 19, 2018",
We Banjo 3 uses music to focus on mental health,"Aug 13, 2018",
Milwaukee Film to reopen Oriental with 'BlacKkKlansman',"Jun 28, 2018",
Dale Jr. explains his vintage Trickle T-shirt,"Jul 28, 2018",
Twenty One Pilots coming to new Bucks arena,"Jul 11, 2018",
Trauma can lead to dissociative disorder,"Jul 3, 2018",
Four hot summer novels for teens,"Jul 15, 2018",
Students share stories about mental health,"May 3, 2018",
Kids in Crisis: Storytelling events coming,"Apr 16, 2018",
Our mission: Collaborate to heal trauma,"Jun 18, 2018",
Final Vans Warped Tour: Farewell to a safe space,"Jul 24, 2018",
City to ban therapy to change a child's sexual orientation,"Mar 27, 2018",
"In Madison, a push toward diversity, acceptance","Jun 14, 2018",
Do background checks work? The evidence says they do,"Mar 26, 2018",
Walk-off! Muskego wins final WIAA summer title,"Jul 21, 2018",
Walk-off! Muskego wins final WIAA summer title,"Jul 21, 2018",
UW-Madison competing for former Google CEO's cash,"May 18, 2018",
"Movies: 'BlacKkKlansman,' 'The Meg,' more","Aug 9, 2018",
Ex-CEO at Google challenges UW to boost incomes,"May 18, 2018",
Track stars are our players of the year in Waukesha,"Jul 28, 2018",
Pimp who woman said enslaved her gets prison,"Jun 1, 2018",
Dead body had been in apartment for a month,"Apr 13, 2018",
Police investigating 'suspicious' death,"Feb 28, 2018",
Sweeping deal with teen inmates to end use of pepper spray,"Jun 1, 2018",
"Prisons chief leaves amid rising costs, criminal probe","May 23, 2018",
Scott Walker's costly Foxconn giveaways,"Apr 27, 2018",
Man charged in 1988 death of wife in Columbia County,"Feb 12, 2018",
Study: Childhood trauma inflicts genetic damage,"Jul 20, 2018",
Ryan: Congress cracks down on opioid epidemic,"Jun 12, 2018",
Look back at one of most dramatic state title runs,"Jul 19, 2018",
New Berlin man gets 10 years on child porn charges,"Mar 16, 2018",
Stingl: Deaths of music educators hit close to home,"Jul 6, 2018",
Summerfest becomes more explicitly political,"Jun 27, 2018",
Shorewood might ban gay conversion therapy,"May 8, 2018",
"Halsey, Logic get real at Summerfest","Jun 30, 2018",
Judge not amused by official dressed as clown for trial,"Jun 22, 2018",
Suspect in Sparta graduation threat named,"May 26, 2018",
Shawn Mendes makes strong impression at Summerfest,"Jul 6, 2018",
Spending time in nature is essential for humans,"Apr 19, 2018",
Marquette law school grad grabs second chance,"May 18, 2018",
Cudahy mom charged in terrorism plot,"Jun 14, 2018",
Transgender prom queen learned early to have thick skin,"May 14, 2018",
"New movies: 'Sorry to Bother You,' 'Skyscraper,' more","Jul 12, 2018",
Mental health facility under scrutiny after death,"May 15, 2018",
"New movies: 'Mission: Impossible — Fallout,' more","Jul 26, 2018",
Bourdain shared thoughts ahead of 2010 visit,"Jun 8, 2018",
Borsuk: Meralis Hood and the power of not being perfect,"Apr 13, 2018",
Cheese-maker saving dairy farms as crisis deepens,"Apr 9, 2018",
Enormity of PTSD creates need for healing spaces,"May 18, 2018",
'McMansions' most viewed story in North Shore,"Dec 26, 2017",
Teen prison to close by 2021 under measure Walker signs Friday,"Mar 30, 2018",
"After a school shooting threat in Tosa, what comes next?","Apr 21, 2018",
Trump signs into law Johnson-led whistleblower bill,"Oct 26, 2017",
MU pushing ahead with massive anti-trauma effort,"Jun 8, 2018",
Ryan invites ex-heroin addict to Trump's State of the Union,"Jan 30, 2018",
Journal Sentinel honored with national awards,"Apr 13, 2018",
Recovering addict honors sobriety through service to others,"May 16, 2018",
GoFundMe account set up for son of Mukwonago woman who was killed,"Dec 14, 2017",
Outside review says sheriff addressing jail problems,"Apr 5, 2018",
"Logic, Dua Lipa Rave show Wednesday postponed","Dec 12, 2017",
Ex-teacher accused of inappropriate relationship found dead,"Aug 8, 2017",
85 books for summer reading,"Aug 6, 2018",
L.A. trauma program shows how to 'stop a bullet',"Jun 18, 2018",
Tighten gun laws to make schools safer,"Mar 27, 2018",
Appleton’s Brekke making a difference for students with special needs,"Mar 27, 2018",
A look inside the Ozaukee County Coroner's Office,"May 3, 2018",
Kenosha police identify two men found dead in home,"Jun 8, 2017",
This day in history — Feb. 14,"Feb 14, 2018",
Chief: No discipline likely for cops who tased man 18 times,"Apr 27, 2018",
Oconomowoc students continue to seek gun reform,"Apr 23, 2018",
Help Wanted: Trauma-focused social workers,"Jun 4, 2018",
Police mental health training misses the mark,"Jun 11, 2018",
Walker pivots and presses for quicker teen prison closure,"Jan 16, 2018",
This day in history — Jan. 11,"Jan 11, 2018",
This day in history — Jan. 11,"Jan 11, 2018",
