Title,Date,Blurb
Police use pepper spray to break up Washington County party,"Saturday, Oct 13, 2018, by Jacob Tierney","California Borough police in Washington County arrested two people for allegedly resisting arrest at a party officers broke up with pepper spray. Officers responded to a call of a loud and disorderly party on Union Street just before midnight Friday, arriving to find about 200 revelers packed into an apartment ..."
Trump in Ohio: 'Robert E. Lee was a great general',"Saturday, Oct 13, 2018, by Steven Adams","President Donald Trump Friday night praised Robert E. Lee as a 'great general' during a campaign rally in Lebanon, Ohio. During a speech in support of Rep. Steve Chabot he launched into a rambling American history lesson that left many puzzled. Trump described Lee as 'incredible.' ..."
"At Ohio rally, Trump touts 'historic week for America'","Friday, Oct 12, 2018, by The Associated Press","LEBANON, Ohio -- President Trump took a victory lap in Ohio on Friday, touting a 'really historic week for America' that began with the installation of his second Supreme Court justice and concluded with the release of an American detained in Turkey. Jocular and boastful, Trump barnstormed -- in what ..."
"Ryan O'Connor: For priest abuse victims, church — and law — must change","Friday, Oct 12, 2018, by Ryan O’connor","I am a practicing Catholic, which means I attend church regularly. I accept Holy Communion. I pray with my fellow parishioners and our parish priests. In addition, my wife and I made the decision to send our two children to our local Catholic school. I am also a survivor of ..."
'Austin Powers' actor Verne Troyer's death ruled a suicide by coroner officials,"Wednesday, Oct 10, 2018, by The Los Angeles Times","Verne Troyer, the actor best known for his role as Mini-Me in two 'Austin Powers' spy movie satires, died from symptoms related to alcohol intoxication in April, the Los Angeles County coroner said Wednesday. Coroner's officials ruled that the 49-year-old's death was a suicide. The actor had struggled with alcohol ..."
Ninth ghost walking tour brings to life words of notables from Brackenridge and Tarentum,"Thursday, Oct 11, 2018, by Chuck Biedka","People who played a role in Tarentum and Brackenridge's history gained voice again Thursday night during the annual ghost walking tour of Prospect Cemetery. In a few moments, actors who wore period appropriate-clothing, shared the history of some of the notables among the 16,000 plots in the 13-acre cemetery just ..."
Son of Lower Burrell district judge ordered to stand trial in drug case,"Thursday, Oct 11, 2018, by Paul Peirce","A state trooper testified Thursday that police acted on an informant's tip Aug. 1 that the son of a Westmoreland County district judge would be transporting a large amount of marijuana through Murrysville on Route 22 that evening and officers set up a traffic sting. Stephen Yakopec III, 28, the ..."
"Laurels & lances: Compromise, volunteers, veterans, Fireball, and civil rights","Thursday, Oct 11, 2018, by Tribune-Review","Laurel: To the Penn-Trafford School Board and the Penn-Trafford Education Association for pushing through 'adversarial' contract negotiations to reach a new, six-year contract that gives educators annual average raises of 3.26 percent. The union planned to vote on a new contract two weeks ago, but that vote was canceled because ..."
"Trafford mom charged after son, 11, had 0.41 BAC from whiskey","Tuesday, Oct 09, 2018, by Renatta Signorini","A Trafford woman remained jail this week after police said her 11-year-old son was found Sunday staggering along a street while intoxicated on cinnamon whiskey, according to a criminal complaint. The boy's blood-alcohol content was 0.41 percent, police said. Tina Nicole Gongloff, 31, was charged Monday with child endangerment and ..."
"Hiring pot executives now less about stigma, more about legality","Wednesday, Oct 10, 2018, by Jeff Green and Craig Giammona • Bloomberg News","Mainstream executives want in on the cannabis craze. That's not surprising, with the value of some Canadian pot businesses topping $10 billion and Coca-Cola Co. and Molson Coors Brewing Co. eyeing marijuana as the next trendy ingredient. But the burgeoning industry faces a unique hurdle: Pot is still illegal at ..."
Safety Bug offers NA students valuable experience,"Wednesday, Oct 10, 2018, by Laurie Rees","To demonstrate the dangers of impaired driving, the Safety Bug swerved into North Allegheny Senior High School on Wednesday, Oct. 3, two days before homecoming festivities began. The Safety Bug is part of an innovative program developed by the Pennsylvania Driving Under the Influence (DUI) Association. The program provides real-life ..."
U.S. Marines leader in Australia replaced over DUI charge,"Monday, Oct 08, 2018, by The Associated Press","DARWIN, Australia -- The commander of more than 1,500 U.S. Marines in northern Australia was relieved of his duties after police caught him driving under the influence of alcohol, the Marine Corps said Monday. Col. James Schnelle, 48, pleaded guilty in the Darwin Local Court on Monday to driving with ..."
McCandless sets Oct. 22 public hearing on Sheetz's effort to move across Perry Highway,"Tuesday, Oct 09, 2018, by Tony LaRussa","A public hearing on a proposal by Sheetz to build a new convenience store and gas station across from its current location along Perry Highway in McCandless has been scheduled for 7:30 p.m. on Oct. 22. The property for the new store is already zoned commercial, but a gasoline station ..."
