Title,Date,Blurb
"Police: South Greensburg woman overdosed on drugs, 5-year-old girl called for help","Thursday, Oct 11, 2018, by Renatta Signorini","A South Greensburg woman was charged with child endangerment this week after allegedly overdosing on drugs, prompting her 5-year-old daughter to call for help, according to police. Authorities said they were dispatched to a Poplar Street apartment at 5:35 p.m. Sept. 28 and found Leanne Schuler, 35, unresponsive. Ambulance personnel ..."
Naloxone kits available for Pennsylvania first responders under $5 million program,"Thursday, Oct 05, 2017, by Renatta Signorini","First responders in Pennsylvania will be able to apply for naloxone kits under a new initiative announced Thursday. More than 60,000 kits of the drug that reverses the effects of an opioid overdose will be available for two years with $5 million in state funding, according to a news release. ..."
Pa. officials say prison smuggling has decreased amid changes after guards got sick,"Friday, Oct 05, 2018, by The Associated Press",CAMP HILL -- Pennsylvania prison officials say they are seeing positive results from changes to mail and visiting policies meant to address a slew of incidents in recent months that caused dozens of corrections officers and other employees to seek medical help for suspected exposure to synthetic marijuana. The agency ...
Valley communities not ready to limit naloxone,"Monday, Jul 10, 2017, by Chuck Biedka","An Ohio city wrestling with how to pay for the narcotic-blocker naloxone is raising ethical and practical questions in the Alle-Kiski Valley. Last month, Middletown, about 300 miles from the Alle-Kiski Valley in southwestern part of Ohio, budgeted $10,000 for its medics and police to use naloxone, also known as ..."
Awareness of opioid crisis on the rise in South Hills communities,"Wednesday, Oct 03, 2018, by Matthew Guerry","For the second year in a row, a crowd gathered at the St. Peter's Episcopal Church in Brentwood on a late summer evening. The 70 people present said the Serenity Prayer together and lit candles for those addicted to opioids and those who died from overdoses. It was the second ..."
Makers of overdose antidote visit Pittsburgh to raise awareness about drug,"Monday, Oct 01, 2018, by Bob Bauder","An Eastern Pennsylvania company has enlisted local doctors in a campaign to raise awareness about the life-saving drug naloxone, which can reverse the effects of a drug overdose, as an opioid epidemic continues to kill people across Pennsylvania at alarming rates. Last year, 5,456 Pennsylvanians died from drug overdoses, according ..."
"Westmoreland ambulances to carry extra naloxone, treatment information for overdose survivors","Wednesday, Feb 07, 2018, by Renatta Signorini","It happens fairly often — ambulance personnel revive someone from an opioid overdose and then the patient refuses hospital treatment. The paramedics and emergency medical technicians leave, unable to do anything more, and the person's drug addiction continues. 'We have a person in our coverage area that we have administered ..."
Puppy that collapsed after ingesting opioid revived with naloxone,"Thursday, Oct 26, 2017, by The Associated Press","ANDOVER, Mass. — A puppy that collapsed after ingesting some sort of opioid in Massachusetts has survived after being given an overdose reversal drug more often administered to humans. Peter Thibault tells The Eagle-Tribune he was walking his 3-month-old yellow Labrador named Zoey in Andover last week when the dog ..."
Pittsburgh City Hall equipped with drug that can counteract a drug OD,"Thursday, May 24, 2018, by Bob Bauder","Pittsburgh is stocking naloxone, a drug that counteracts the effects of a drug overdose, in defibrillator stations at the City-County Building, Downtown, and has trained building security guards on how to use it. Tim McNulty, spokesman for Mayor Bill Peduto, was unsure if there was ever a drug overdose in ..."
Praise for surgeon general's advisory on opioid antidote,"Thursday, Apr 05, 2018, by Megan Guza and Ben Schmitt","The overdose reversal drug naloxone twice saved the life of Carmen Capozzi's son, Sage. If it had been available a third time andmdash; on March 5, 2012, at a Hempfield motel andmdash; Sage could have had the opportunity at recovery. Six years after his son's death, Capozzi welcomed the surgeon ..."
Monroeville hospital trains Gateway schools force to handle overdoses,"Wednesday, Jan 18, 2017, by Samson X Horne","Gateway officials have taken a step to prepare for a problem they hope to never have: Overdoses from heroin or other opioids in district schools. The district's newly formed police force received training Monday in how to administer naloxone, a drug that reverses the effects of opioid overdoses. Officers also ..."
Few in Allegheny County take advantage of Narcan availability,"Wednesday, Jul 08, 2015, by Aaron Aupperlee","Few heroin addicts, their friends and families or pharmacies have taken advantage of a blanket prescription issued by Allegheny County Health Department Director Karen Hacker to make a potentially life-saving drug easily available. Only six pharmacies, including the Health Department's walk-in clinic in Oakland, participate, and only six two-dose naloxone ..."
"Drug distributor to donate 80,000 doses of overdose antidote","Tuesday, Apr 10, 2018, by The Associated Press","COLUMBUS, Ohio — An Ohio-based drug distributor facing lawsuits linked to the opioid crisis is donating more than 80,000 doses of an overdose antidote for use by emergency responders in several states. The Columbus Dispatch reports Cardinal Health has started distributing the naloxone it pledged last year as part of ..."
Fox Chapel Area School District employees trained to deal with various emergencies,"Monday, Nov 06, 2017, by Jan Pakler",More than 200 Fox Chapel Area School District employees attended a workshop Monday to train them for a number of emergencies that could occur in the schools. Among the discussions about emergency response were how to administer naloxone to a person who is overdosing; how to deal with an active ...
Video: Gov. Tom Wolf remains mum about incentives offered to Amazon,"Friday, Oct 20, 2017, by Aaron Aupperlee",Gov. Tom Wolf shared little information about the Pennsylvania's contributions to bids by Pittsburgh and Philadelphia for Amazon's second headquarters. Wolf spoke to reporters after an event in Pittsburgh announcing $5 million in state funding to provide naloxone to first responders in Pennsylvania. Read more about what Wolf did and ...
Praise for surgeon general's advisory on opioid antidote,"Thursday, Apr 05, 2018, by Megan Guza and Ben Schmitt","The overdose reversal drug naloxone twice saved the life of Carmen Capozzi's son, Sage. If it had been available a third time andmdash; on March 5, 2012, at a Hempfield motel andmdash; Sage could have had the opportunity at recovery. Six years after his son's death, Capozzi welcomed the surgeon ..."
Bellevue dog revived from drug overdose with Narcan,"Tuesday, Sep 19, 2017, by Mary Ann Thomas","A Bellevue dog that ingested methadone was brought back from the brink of death with Narcan, Tribune-Review news partner WPXI reported. Capt. Glenn Pritchard of the Bellevue Volunteer Fire Company told WPXI that the Avalon Veterinary Hospital contacted the fire company last Friday asking about naloxone, known as Narcan, which ..."
Pittsburgh City Hall equipped with drug that can counteract a drug OD,"Thursday, May 24, 2018, by Bob Bauder","Pittsburgh is stocking naloxone, a drug that counteracts the effects of a drug overdose, in defibrillator stations at the City-County Building, Downtown, and has trained building security guards on how to use it. Tim McNulty, spokesman for Mayor Bill Peduto, was unsure if there was ever a drug overdose in ..."
