Title,Date,Blurb
Chilling discussion about opioid epidemic shared at Pine-Richland High School,"Friday, Oct 12, 2018, by Karen Price","Approximately 60 parents and Pine-Richland community members gathered at the high school on Oct. 9 for a 90-minute frank discussion on opioid use, how it affects the brain, why recovery is so difficult and how the epidemic sweeping the nation impacts us all. Dr. C. Thomas Brophy, an emergency room ..."
5 McKeesport residents charged with conspiracy to distribute fentanyl analogue,"Wednesday, Oct 10, 2018, by Jeff Himler","Five McKeesport residents are charged with conspiring to distribute a synthetic opioid that is an analogue of fentanyl. Named as defendants in the five-count federal grand jury indictment returned Tuesday in Pittsburgh are Nathan Hampton, 29, Travis Robertson, 28, Leslie Jackson, 54, Sacha Nesbeth, 26, and her mother, Juliet Nesbeth, ..."
New 25th District rep to be chosen in upcoming election,"Thursday, Oct 11, 2018, by Michael DiVittorio","Residents in the state's 25th District will choose a replacement for longtime state Rep. Joe Markosek. Markosek, D-Monroeville, is retiring after more than 35 years in office. His son, Brandon Markosek, 25, of Monroeville, seeks to continue his father's work. 'Seeing the positive impact that my father's had on this ..."
"Police: South Greensburg woman overdosed on drugs, 5-year-old girl called for help","Thursday, Oct 11, 2018, by Renatta Signorini","A South Greensburg woman was charged with child endangerment this week after allegedly overdosing on drugs, prompting her 5-year-old daughter to call for help, according to police. Authorities said they were dispatched to a Poplar Street apartment at 5:35 p.m. Sept. 28 and found Leanne Schuler, 35, unresponsive. Ambulance personnel ..."
Marijuana backers look for Midwest breakthrough in November,"Tuesday, Oct 09, 2018, by The Associated Press","LANSING, Mich. -- Backers of broad marijuana legalization are looking to break through a geographic barrier in November and get their first foothold in the Midwest after a string of election victories in Northeastern and Western states. Michigan and North Dakota, where voters previously authorized medical marijuana, will decide if ..."
Awareness of opioid crisis on the rise in South Hills communities,"Wednesday, Oct 03, 2018, by Matthew Guerry","For the second year in a row, a crowd gathered at the St. Peter's Episcopal Church in Brentwood on a late summer evening. The 70 people present said the Serenity Prayer together and lit candles for those addicted to opioids and those who died from overdoses. It was the second ..."
Bronx man pleads guilty in Pittsburgh to selling thousands of heroin doses,"Friday, Oct 05, 2018, by Tribune-Review","A Bronx, New York man has pleaded guilty to conspiracy to distributing about 6.5 ounces of heroin and selling about 5,000 packets of the illegal opioid. Federal prosecutors in Pittsburgh on Friday said Pedro Rosario, 27, pleaded guilty to one count before U.S. District Judge Cathy Bissoon. Prosecutors said Rosario ..."
"Opioids still the biggest national drug threat, says DEA","Tuesday, Oct 02, 2018, by Chuck Biedka","Heroin, fentanyl and related drugs remain the chief drug threat in the nation but cocaine and methamphetamine are roaring back in some areas, the U.S.Drug Enforcement Administration said Tuesday. Heroin and the stronger synthetic painkiller, fentanyl, accounted for 64,000 deaths in 2016 and represented two-thirds of all poisoning deaths, according ..."
Letter to the editor: Differing candidates are best,"Saturday, Oct 06, 2018, by Letter to the Editor","In his column 'The Democrats' political pandering' (Sept. 27, TribLIVE), Paul Kengor rightly recognizes that Democrats are nominating vastly different candidates depending on which district they're competing in, but he's wrong to imply that such a move is unprincipled. Would he rather all Democratic candidates run to the left with ..."
Pa. officials say prison smuggling has decreased amid changes after guards got sick,"Friday, Oct 05, 2018, by The Associated Press",CAMP HILL -- Pennsylvania prison officials say they are seeing positive results from changes to mail and visiting policies meant to address a slew of incidents in recent months that caused dozens of corrections officers and other employees to seek medical help for suspected exposure to synthetic marijuana. The agency ...
Opioid crisis strains health care,"Wednesday, Jun 21, 2017, by Megan Guza","Emergency room visits related to the opioid epidemic skyrocketed in the past decade, reaching more than 1 million nationwide in 2014, a rise that is reflected statewide and locally. The 2014 numbers andmdash; the most recent year for which data are available andmdash; show a 64 percent increase in inpatient ..."
Opioid treatment success in Armstrong raises hope,"Wednesday, Mar 01, 2017, by Mary Ann Thomas","There is rare positive news in the battle against opioid addiction: A treatment program in Armstrong County has an almost 70 percent success rate of keeping addicts from relapsing for six to nine months. The short-term success rate is surprising, given that the National Institutes for Health estimates the relapse ..."
"Opioid epidemic could spark HIV outbreak, health experts fear","Sunday, Mar 18, 2018, by Megan Guza","Pennsylvania's widespread opioid epidemic, combined with controversial drug paraphernalia laws and the lack of needle exchange programs in rural areas, could spark a devastating and costly HIV outbreak, health experts fear. Several HIV outbreaks have hit in parts of the country, including rural Scott County, Ind., which could cost the ..."
Opioid epidemic gives rise to Hepatitis C infections,"Thursday, Dec 21, 2017, by Ben Schmitt","A large number of opioid addicts are also inadvertently injecting themselves with the Hepatitis C virus, according to research published Thursday by the Centers for Disease Control and Prevention. Researchers found a 133 percent increase across the country in acute Hepatitis C in conjunction with a 93 percent rise in ..."
"Opioid epidemic causes drop in life expectancy for white Americans, researchers say","Wednesday, Sep 20, 2017, by Renatta Signorini","The average life expectancy of white Americans is being reduced by 21⁄2 months as a result of the opioid epidemic, according to a study published in The Journal of the American Medical Association. Researchers used data from the Centers for Disease Control and Prevention that was gleaned from death certificates ..."
Opioid crisis produces hazardous litter: Used needles,"Friday, Jul 21, 2017, by Patrick Varine","As the opioid epidemic grinds on in Western Pennsylvania and elsewhere, one of its most dangerous byproducts — used, dirty drug syringes — are turning up in more and more public places. In the past year-and-a-half, Murrysville police have been contacted with a half-dozen reports of residents finding syringes in ..."
"Opioid overdose ER visits in Pennsylvania increase 81 percent, CDC says","Tuesday, Mar 06, 2018, by Renatta Signorini","Opioid overdose-related emergency department visits increased by 81 percent in Pennsylvania during a 14-month period that ended in September, according to the Centers for Disease Control and Prevention. The information was released Tuesday in a report from the agency, according to a news release. Pennsylvania was among four states where ..."
"Opioid prescriptions drop in Allegheny, Westmoreland counties, but numbers remain high","Monday, Feb 12, 2018, by Megan Guza","Opioid prescriptions in Allegheny and Westmoreland counties have decreased over the past year. But Allegheny County physicians still write enough prescriptions quarterly to medicate each resident of Pittsburgh, and those in West-moreland could medicate one-fourth of the county, according to data recently released by the Pennsylvania Department of Health. Between ..."
More than 50 arrested in Philadelphia drug ring bust,"Thursday, Oct 04, 2018, by The Associated Press","PHILADELPHIA -- Three top members of a well-known Philadelphia drug trafficking organization are facing 689 charges after a collaborative enforcement effort dismantled the heroin, fentanyl and cocaine ring, the city's top prosecutor announced Thursday. District Attorney Larry Krasner said 57 people have been arrested from the Alameda drug organization that ..."
Greensburg diocese plans 5 more opioid meetings in August,"Friday, Jul 28, 2017, by Stephen Huba","The Diocese of Greensburg will hold more public meetings on the opioid crisis in August. The remaining Summer Diocesan Drug Education and Prayer Service Evenings are scheduled for 7 p.m. as follows: • Aug. 2, St. Joseph Parish, Uniontown (parish social hall); • Aug. 3, Our Lady of Grace Parish, ..."
North Hill Middle School to host Town Hall discussion of opioid epidemic,"Monday, Mar 12, 2018, by Laurie Rees","It often starts innocently enough with a sports injury or a wisdom tooth extraction. The patient is prescribed an opioid like codeine, hydrodone (Vicodin) or oxycodone (OxyContin) to relieve the pain. However, with just a 10-day supply, one in five of these patients will become addicted according to a study ..."
Pitt study: 70K opioid overdose deaths went unreported on death certificates,"Wednesday, Jun 27, 2018, by Tom Davidson","The scope of the national opioid epidemic is dramatically underestimated because of incomplete death certificate reporting, according to a study released Wednesday by the journal of the U.S. Surgeon General. The problem is most evident in Pennsylvania, according to the study's lead author, Jeanine M. Buchanich, a research professor at ..."
Allegheny Health Network announces opioid treatment center,"Tuesday, Aug 15, 2017, by Ben Schmitt","Allegheny Health Network on Tuesday announced a new program aimed at treating opioid abuse throughout the region. The AHN Center of Excellence for Opioid Use Disorder program is one of 45 across Pennsylvania being funded by a Pennsylvania Department of Human Services grant. Dr. William Johnjulio, chair of family medicine ..."
Diocese strives to be voice in opioid battle,"Tuesday, Jul 11, 2017, by Stephen Huba","Catholics in the Diocese of Greensburg are coming to terms with the fact that opioid addiction does not discriminate on the basis of religion. Those terms can be devastating for families, said Mary Sampey, 31, of Dunbar, Fayette County. 'My specific calling is to the families of the addict because ..."
New U.S. survey shows some progress against opioid crisis,"Friday, Sep 14, 2018, by The Associated Press","Figures from a U.S. government survey released Friday show some progress in the fight against the ongoing opioid addiction crisis with fewer people in 2017 using heroin for the first time compared to the previous year. The number of new users of heroin decreased from 170,000 in 2016 to 81,000 ..."
Memorial wall for opioid overdose victims makes stop in Pittsburgh,"Monday, Jan 29, 2018, by Ben Schmitt","They are tiny white pills, 22,000 of them, with tiny faces engraved into them. Behind each face is the story of a person who fatally fell victim to the opioid crisis. 'Each of these faces had lives, friends, loved ones and unknown potential,' said Michelle Lynam, an Altoona resident who ..."
Allegheny County seeks proposals to recoup money lost to opioid crisis,"Monday, Jan 08, 2018, by Theresa Clift","Allegheny County is planning to hire legal counsel to explore whether the county should file a lawsuit to recoup money lost to the opioid crisis, as several other Western Pennsylvania counties have done. The county issued a 'request for qualifications' Dec. 8, seeking to hire legal counsel to first determine ..."
