Title,Date,Blurb
"Police: South Greensburg woman overdosed on drugs, 5-year-old girl called for help","Thursday, Oct 11, 2018, by Renatta Signorini","A South Greensburg woman was charged with child endangerment this week after allegedly overdosing on drugs, prompting her 5-year-old daughter to call for help, according to police. Authorities said they were dispatched to a Poplar Street apartment at 5:35 p.m. Sept. 28 and found Leanne Schuler, 35, unresponsive. Ambulance personnel ..."
Chilling discussion about opioid epidemic shared at Pine-Richland High School,"Friday, Oct 12, 2018, by Karen Price","Approximately 60 parents and Pine-Richland community members gathered at the high school on Oct. 9 for a 90-minute frank discussion on opioid use, how it affects the brain, why recovery is so difficult and how the epidemic sweeping the nation impacts us all. Dr. C. Thomas Brophy, an emergency room ..."
3 suspects face charges in the death of a New Kensington woman who died from overdose,"Friday, Oct 05, 2018, by Madasyn Czebiniak","Three men are accused of selling and delivering drugs that New Kensington police allege killed a woman earlier this year. Tre-Ron Arnez Jackson, 25, of Pittsburgh, Gust Robert Stone, 38, of New Kensington, and Matthew Covey, 47, of New Kensington, are charged with drug delivery resulting in death in the ..."
Pitt men's basketball team debuts Mac Miller tribute video,"Sunday, Oct 07, 2018, by Frank Carnevale","The University of Pittsburgh men's basketball team made a tribute video honoring the late rapper Mac Miller. The video premiered on Friday night during the school's Courtside at the Cathedral season kickoff event, according to Trib news partner WPXI. The video was also posted to Twitter Friday night with the ..."
Makers of overdose antidote visit Pittsburgh to raise awareness about drug,"Monday, Oct 01, 2018, by Bob Bauder","An Eastern Pennsylvania company has enlisted local doctors in a campaign to raise awareness about the life-saving drug naloxone, which can reverse the effects of a drug overdose, as an opioid epidemic continues to kill people across Pennsylvania at alarming rates. Last year, 5,456 Pennsylvanians died from drug overdoses, according ..."
Overdose Task Force ponders how to use donation from Greensburg church,"Wednesday, Feb 21, 2018, by Matthew Santoni","The Westmoreland County Drug Overdose Task Force is seeking feedback from the faith community on how it can use a $2,000 gift from the First Evangelical Lutheran Church of Greensburg. The church's donation could continue training sessions for recognizing the signs and symptoms of opioid addiction and overdoses, or it ..."
Overdose prevention course coming to Monessen,"Friday, Jun 29, 2018, by Jacob Tierney","Members from the drug and alcohol commissions in Westmoreland, Fayette and Washington counties have teamed up to offer an overdose prevention class in Monessen. 'Learn To Save a Life: Overdose Prevention 101' will be held July 12 at 6 p.m. in Monessen High School, 1245 State Road. The free program ..."
Overdose deaths in Westmoreland hit new high in 2016,"Wednesday, Apr 05, 2017, by Paul Peirce","Recovered addict Kiera Spahn of Penn Township lost her husband, Jesse, to heroin in December. She was shocked Wednesday morning by an email from Westmoreland County Coroner Ken Bacha: Jesse Spahn was one of 174 fatal overdoses. The number jumped 38 percent in 2016, setting a record. 'I had no ..."
"Overdose victim's parents sue Westmoreland County, day reporting center","Friday, May 02, 2014, by Richard Gazarik","The parents of a Unity man who died of an overdose of heroin he bought outside the day reporting center in Greensburg are suing Westmoreland County and two nonprofit agencies, alleging they allowed dealers to peddle drugs to clients outside the treatment facility, according to their lawsuit. David and Brenda ..."
"Overdose deaths in Allegheny County may have peaked, officials say","Monday, May 21, 2018, by Megan Guza","Allegheny County officials are considering a 12-percent increase in overdose deaths last year a win over previous years that saw far higher increases. In a Monday afternoon press release, the county medical examiner said the final tally of overdose-related deaths in 2017 was 735. That's 80 more deaths than 2016, ..."
Overdose Task Force ponders how to use donation from Greensburg church,"Wednesday, Feb 21, 2018, by Matthew Santoni","The Westmoreland County Drug Overdose Task Force is seeking feedback from the faith community on how it can use a $2,000 gift from the First Evangelical Lutheran Church of Greensburg. The church's donation could continue training sessions for recognizing the signs and symptoms of opioid addiction and overdoses, or it ..."
"Overdose deaths in Allegheny County may have peaked, officials say","Monday, May 21, 2018, by Megan Guza","Allegheny County officials are considering a 12-percent increase in overdose deaths last year a win over previous years that saw far higher increases. In a Monday afternoon press release, the county medical examiner said the final tally of overdose-related deaths in 2017 was 735. That's 80 more deaths than 2016, ..."
Pa. officials say prison smuggling has decreased amid changes after guards got sick,"Friday, Oct 05, 2018, by The Associated Press",CAMP HILL -- Pennsylvania prison officials say they are seeing positive results from changes to mail and visiting policies meant to address a slew of incidents in recent months that caused dozens of corrections officers and other employees to seek medical help for suspected exposure to synthetic marijuana. The agency ...
Awareness of opioid crisis on the rise in South Hills communities,"Wednesday, Oct 03, 2018, by Matthew Guerry","For the second year in a row, a crowd gathered at the St. Peter's Episcopal Church in Brentwood on a late summer evening. The 70 people present said the Serenity Prayer together and lit candles for those addicted to opioids and those who died from overdoses. It was the second ..."
Woman not guilty of most serious charge in Delmont fatal overdose case,"Thursday, Dec 08, 2016, by Rich Cholodofsky","Before a Westmoreland County jury began deliberating Thursday afternoon, a Delmont woman testified that she was a drug addict but denied buying the heroin that led to her live-in boyfriend's fatal overdose. Lisa Lynn Kaciubij, 41, was found not guilty of a felony charge of drug delivery resulting in death ..."
Greensburg woman dies of apparent heroin overdose,"Saturday, Jan 05, 2013, by Tribune-Review","A 35-year-old Greensburg woman died Thursday from an apparent heroin overdose, city police said. Jennifer Boske of 727 Eastmont Drive, Apt. 3B, was pronounced dead at 6:07 p.m. by Westmoreland County Deputy Coroner Tim O'Donnell. Investigators determined through friends that Boske used heroin that day, police Chief Walter 'Wally' Lyons ..."
