Title,Date,Blurb
Prosecutors: Father helped daughter in murder-suicide plot,"Thursday, Oct 11, 2018, by The Associated Press","OSCEOLA, Mo. -- Prosecutors say a Missouri woman persuaded her terminally ill father to fatally shoot her estranged husband to resolve a custody dispute, then kill himself so it appeared to be a murder-suicide. The Springfield News-Leader reports that 35-year-old Elizabeth Kilgore pleaded not guilty last week to first-degree murder ..."
'Austin Powers' actor Verne Troyer's death ruled a suicide by coroner officials,"Wednesday, Oct 10, 2018, by The Los Angeles Times","Verne Troyer, the actor best known for his role as Mini-Me in two 'Austin Powers' spy movie satires, died from symptoms related to alcohol intoxication in April, the Los Angeles County coroner said Wednesday. Coroner's officials ruled that the 49-year-old's death was a suicide. The actor had struggled with alcohol ..."
"Hoarding, a big problem among the elderly, starts in childhood, expert says","Tuesday, Oct 09, 2018, by Stacey Burling","Hoarding gets worse with age, which is why it's often associated with older adults, but it usually starts in childhood. That's what Patrick Arbore, founder and director of the Center for Elderly Suicide Prevention and Grief Related Services in San Francisco, told a group of professionals who work with seniors ..."
Vacancies remain high among Allegheny County Jail medical staff,"Tuesday, Oct 09, 2018, by Theresa Clift","When 27-year-old Timothy Leininger died in his Allegheny County Jail cell in May 2015 after not receiving medication he needed, registered nurse Jan Lee knew she had to quit. 'That's all it took for me was somebody not getting meds that led to his death,' said Lee, of Harrison, who ..."
Mayo Clinic Q&A: Screening teens for depression risk is standard practice,"Tuesday, Oct 09, 2018, by Mayo Clinic News Network","Dear Mayo Clinic: At her most recent well-child checkup, my 13-year-old daughter was given a questionnaire about depression, even though she doesn't have any symptoms of depression. Is screening for depression typical at her age If so, how are the answers used Answer: Major depression is common. It's estimated that ..."
Statue of Soundgarden singer Chris Cornell unveiled,"Monday, Oct 08, 2018, by The Associated Press","SEATTLE -- A life-size, bronze statue of late Soundgarden frontman Chris Cornell has been unveiled at a Seattle museum. Cornell's wife, Vicky Cornell, commissioned the piece and donated it to the Museum of Pop Culture at Seattle Center, which placed it outdoors along a sidewalk. The work, by artist Nick ..."
Suicide cause of man's death under McKees Rocks Bridge,"Wednesday, Mar 27, 2013, by Tribune-Review","The death of a man whose body was found Wednesday on the North Side has been ruled a suicide, a spokesman for the Allegheny County Medical Examiner's Office said. An Alcosan security guard spotted the body of the 19-year-old Squirrel Hill resident under the McKees Rocks Bridge and called 911 ..."
Suicide ruled as cause of death of former federal energy lab leader in Upper St. Clair,"Tuesday, Apr 15, 2014, by Michael Hasch","The death of a former federal energy lab leader from Upper St. Clair who was awaiting trial on obstruction charges was ruled a suicide on Tuesday by the Allegheny County Medical Examiner's Office. The body of Anthony Cugini, 54, was found on the morning of Jan. 8 in a dry ..."
Suicide reported in parking lot of Excela Health Latrobe Hospital,"Monday, Sep 18, 2017, by Tribune-Review","A suicide in a parking lot of Excela Health Latrobe Hospital was reported on Monday between 5:30 and 7 a.m., according to the county coroner's office. Investigators said the victim was a young man. No other information was released. ..."
"Suicide among veterans highest in rural areas, western U.S.","Saturday, Sep 16, 2017, by The Associated Press","WASHINGTON — Suicide among military veterans is especially high in the western United States and rural areas, according to new government data that show wide state-by-state disparities and suggest social isolation, gun ownership and access to health care may be factors. The figures released Friday are the first-ever Department of ..."
